resp_flag,GEND,AART,ADBT,ADEP,AHBP,AHCH,ARES,AHRT,ADGS,AHRL,AVIS,BANK,FINI,INLI,INMEDI,INVE,IOLP,ONLA,SGFA,SGLL,SGOE,SGSE,SGTC,NOC19,NAH19,age,c210apvt,c210b200,c210blu,c210bpvt,c210cip,c210ebi,c210hmi,c210hva,c210kses,c210mah,c210mob,c210mys,c210pdv,c210pmr,c210poo,c210psu,c210pwc,c210wht,ilor,meda,pdpe,tins,zhip19
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,70,75,9,16,25,25,38,45,549,78,42,0,3,16,27,11,23,50,60,12,61,46,4,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,73,93,46,15,7,80,80,99,395,101,51,0,4,11,53,90,97,54,62,4,86,36,3,3
0,F,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,0,2,69,94,12,14,6,80,62,75,153,91,52,0,4,14,57,78,99,39,74,8,67,62,11,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,67,97,3,11,3,65,52,62,148,86,59,0,4,16,49,84,94,24,76,8,59,61,7,7
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,66,93,0,23,7,39,40,45,91,72,54,0,4,21,39,78,99,22,62,11,49,54,8,7
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,78,61,8,26,39,1,18,20,110,62,57,0,3,22,23,28,42,24,38,7,59,49,2,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,1,66,97,38,20,3,78,77,96,257,95,50,1,4,11,62,75,88,35,67,19,14,81,10,7
0,M,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,0,1,72,95,7,13,5,85,61,72,299,99,60,0,5,12,54,76,84,30,78,13,45,59,8,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,3,77,96,2,13,4,93,100,131,766,121,62,0,5,13,58,90,99,31,74,18,64,42,10,8
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,77,95,58,29,5,72,72,87,405,94,42,0,4,13,43,47,67,56,58,17,42,62,2,6
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,0,2,72,73,19,25,27,13,33,36,408,75,48,0,3,18,35,23,12,47,48,14,61,46,4,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,76,84,2,16,16,40,51,57,608,85,47,0,4,18,37,25,48,32,72,3,61,46,2,3
0,F,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,0,6,78,85,10,37,15,45,52,61,342,80,50,0,3,11,42,76,99,60,40,7,61,46,2,9
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,79,79,2,30,21,26,40,46,426,73,49,2,3,17,32,39,74,49,39,46,61,46,8,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,3,73,58,14,43,42,10,31,34,331,66,43,0,2,10,28,35,72,71,33,32,61,46,2,8
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,75,78,4,24,22,5,32,36,198,73,46,0,3,27,19,17,8,22,54,0,15,84,6,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,71,97,2,19,3,77,71,91,439,95,51,0,4,9,35,54,55,31,56,6,30,63,4,4
0,F,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,0,1,69,98,0,8,2,86,79,105,480,113,59,2,5,9,60,79,81,33,85,11,26,65,8,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,1,65,91,18,5,9,67,62,78,670,109,42,0,6,15,22,2,0,6,75,10,45,53,7,5
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,71,88,12,25,12,33,42,49,663,81,49,0,3,13,48,40,35,37,48,99,49,40,3,6
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,3,79,72,20,27,28,19,33,39,446,72,45,0,3,21,22,12,1,45,39,8,48,47,8,3
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,74,94,6,11,6,44,49,57,660,95,56,0,5,8,61,63,45,30,78,99,48,47,1,1
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,77,81,7,16,19,33,40,49,420,87,52,0,4,15,35,39,16,36,62,10,30,63,9,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,70,91,39,22,9,49,47,61,187,79,53,2,4,14,38,55,41,29,58,12,25,80,6,1
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,0,1,76,97,5,12,3,84,83,105,933,120,57,0,6,12,51,67,87,31,81,6,61,46,11,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,70,87,87,21,13,81,55,67,143,76,41,6,3,31,23,73,93,36,57,4,43,63,3,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,4,74,87,6,29,13,56,59,70,404,85,52,0,3,17,37,65,82,55,51,17,61,46,5,8
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,2,78,59,14,26,41,3,25,26,288,66,47,0,3,16,28,8,25,47,37,12,62,37,4,2
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,2,76,90,16,21,10,24,39,44,425,86,50,0,4,18,36,33,41,42,50,5,61,46,1,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,69,97,3,19,3,64,64,78,416,95,58,3,4,18,39,86,90,28,63,7,61,46,3,8
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,75,89,4,29,11,49,55,64,383,81,52,4,3,15,38,66,82,48,53,7,61,46,2,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,1,68,69,36,37,31,12,32,35,124,65,50,3,2,10,40,61,80,70,25,7,43,66,6,3
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,66,95,67,16,5,67,67,81,383,95,57,25,4,14,53,75,75,38,59,10,75,35,6,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,70,81,15,21,19,40,50,57,189,78,44,11,4,23,31,46,27,41,58,5,61,46,2,3
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,3,79,95,11,5,5,51,55,66,831,101,53,0,6,25,26,25,28,8,75,17,62,37,8,9
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,79,94,6,16,6,26,41,46,417,79,60,7,4,14,49,71,55,17,59,5,62,37,6,3
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,1,77,83,28,25,17,19,38,41,137,71,51,19,3,18,40,57,68,44,45,11,75,35,6,3
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,74,80,3,11,20,35,42,50,377,84,54,0,4,17,21,22,0,23,54,0,45,53,3,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,0,1,73,98,15,9,2,84,83,105,492,108,53,0,5,17,51,76,89,24,74,12,64,42,4,3
0,F,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,0,3,75,85,4,21,15,55,61,77,229,85,49,0,3,16,44,56,60,46,62,19,15,84,11,7
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,0,1,79,97,7,18,3,38,54,65,230,85,51,0,4,13,35,66,62,32,64,9,15,84,7,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,73,97,14,30,3,66,51,62,136,80,57,8,4,13,59,83,89,31,51,7,35,68,3,2
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,3,72,80,14,11,20,29,42,48,370,84,57,0,4,23,21,45,80,16,63,14,75,35,5,8
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,3,71,97,10,11,3,96,88,111,553,124,61,0,6,7,61,91,99,32,72,8,49,54,8,6
0,F,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,1,1,73,73,2,30,27,14,33,37,149,69,54,0,3,18,36,66,91,30,43,12,43,66,6,5
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,74,91,26,15,9,53,49,64,425,91,56,0,4,16,34,45,36,35,60,6,49,40,3,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,69,96,19,32,4,31,49,61,70,78,53,57,3,14,53,86,39,34,59,12,12,90,3,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,77,98,10,9,2,95,115,164,464,135,58,0,6,8,70,87,98,42,80,3,37,61,2,2
0,F,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,0,1,75,72,8,19,28,8,28,32,99,70,54,0,3,24,37,45,57,30,61,1,19,91,4,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,76,93,18,27,7,78,57,70,183,83,56,0,4,9,67,90,99,36,55,6,40,58,7,1
0,M,N,Y,N,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,0,4,77,94,32,23,6,81,79,101,277,99,53,1,4,9,59,82,99,46,67,8,61,46,3,3
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,75,89,5,14,11,72,71,88,426,99,52,0,4,12,45,54,86,35,69,5,62,37,6,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,72,94,13,2,6,78,77,96,615,114,72,1,4,15,58,39,91,3,80,2,75,35,5,9
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,69,97,27,22,3,80,61,75,183,87,58,10,4,11,65,79,77,26,66,99,51,60,2,5
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,79,98,50,8,2,97,97,127,340,117,52,0,6,6,74,90,97,51,75,9,61,82,4,3
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,69,65,3,23,35,15,29,32,77,64,47,0,3,27,36,29,56,37,40,7,57,59,3,2
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,2,72,83,18,13,17,37,41,46,163,82,39,0,5,21,26,17,39,29,63,17,59,61,7,2
0,M,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,0,2,78,91,23,40,9,35,41,45,88,70,67,47,3,18,44,88,53,15,41,30,59,61,3,5
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,68,59,21,9,41,12,28,30,201,78,41,2,4,15,26,17,29,21,67,7,51,63,5,5
0,M,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,0,2,76,72,3,29,28,17,31,34,81,68,57,17,3,15,46,71,83,27,42,19,31,80,11,3
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,70,94,6,26,6,73,58,68,153,87,59,0,4,15,55,86,99,24,59,8,48,59,4,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,75,79,12,28,21,35,39,45,119,71,56,3,3,22,47,77,97,37,56,21,31,80,4,1
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,65,89,10,46,11,11,27,29,99,65,52,0,3,24,30,41,60,31,40,19,47,71,15,9
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,3,69,95,23,15,5,90,75,94,269,97,55,0,5,10,65,92,98,40,73,11,48,59,13,8
0,M,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,0,3,66,99,31,13,1,96,92,119,317,115,56,4,5,6,71,93,96,44,76,15,48,59,15,9
0,F,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,0,1,68,91,0,36,9,47,44,51,92,75,51,0,3,12,42,80,96,32,40,12,50,55,3,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,2,70,80,0,30,20,26,35,40,117,70,51,1,4,24,32,27,46,21,49,99,50,55,2,5
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,2,69,89,14,38,11,52,45,54,138,74,47,6,3,13,57,68,79,51,47,0,31,77,3,3
0,M,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,0,2,69,89,16,19,11,26,35,40,112,69,50,0,3,16,44,58,70,40,47,12,65,52,12,2
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,71,31,12,0,69,1,15,15,113,60,59,0,3,36,1,2,0,0,64,7,61,53,4,3
0,F,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,0,1,77,87,2,21,13,19,33,35,69,66,54,0,3,23,30,50,58,32,48,6,61,53,6,1
0,M,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,2,2,65,94,18,11,6,64,53,61,162,85,51,0,4,12,58,79,82,39,70,8,64,46,7,3
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,69,93,5,23,7,43,42,49,135,74,57,7,3,21,45,73,91,26,59,8,64,46,5,7
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,0,1,67,80,11,44,20,24,37,39,123,67,56,6,3,21,44,73,80,28,38,8,64,46,7,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,1,4,70,99,57,13,1,86,70,85,182,97,46,0,5,12,63,90,97,53,76,10,60,65,3,8
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,2,1,66,95,28,27,5,75,57,69,144,83,55,4,3,17,55,74,86,29,59,8,67,62,9,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,2,75,84,9,16,16,41,43,48,120,82,52,0,4,18,33,63,80,38,59,3,46,51,4,4
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,6,4,71,83,5,24,17,33,38,44,119,73,56,6,4,16,32,78,94,31,54,15,46,51,2,8
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,5,71,98,2,7,2,94,85,108,330,112,60,0,6,5,70,92,98,30,75,29,46,51,7,9
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,1,1,75,93,10,26,7,62,51,60,146,82,57,30,4,12,56,77,70,28,62,12,59,58,6,0
0,M,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,0,1,66,82,18,24,18,31,37,43,97,73,49,0,4,16,47,52,71,37,56,12,59,47,7,3
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,3,65,98,0,27,2,43,45,49,126,76,59,0,4,21,42,80,91,27,59,16,59,47,2,5
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,0,2,80,93,10,33,7,43,43,49,120,71,58,0,4,12,46,72,82,23,43,24,31,85,13,9
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,67,74,19,31,26,10,27,29,46,67,51,33,3,30,11,41,40,35,49,19,58,47,3,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,0,1,66,92,60,9,8,45,42,48,120,77,51,0,4,21,21,60,76,34,74,1,54,54,4,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,1,69,96,17,3,4,78,60,73,249,101,46,0,6,20,46,56,66,32,81,10,54,54,8,6
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,0,1,77,92,14,5,8,83,66,81,234,98,54,3,6,13,51,80,96,29,86,8,58,47,3,0
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,79,83,47,27,17,60,51,59,136,77,52,1,4,16,49,81,99,42,52,6,64,44,4,0
0,M,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,Y,0,3,70,93,28,8,7,66,53,63,175,85,62,0,4,16,49,77,85,23,76,1,58,58,2,5
0,F,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,Y,Y,0,1,70,92,34,8,8,88,72,90,597,123,51,0,6,10,67,55,66,41,75,10,54,54,5,1
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,4,67,92,55,18,8,71,54,67,126,83,49,0,4,16,36,82,99,47,58,5,64,44,3,8
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,66,73,24,36,27,20,32,35,140,70,38,0,3,17,38,15,14,49,32,3,58,47,3,4
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,67,99,15,1,1,99,192,255,999,170,58,0,6,4,69,92,97,39,96,3,54,54,3,7
0,M,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,2,69,98,19,6,2,84,68,82,300,105,45,1,6,20,31,70,85,24,74,8,54,54,2,9
0,M,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,1,2,75,69,52,23,31,5,23,24,138,64,43,0,3,17,7,9,19,31,51,12,54,54,7,9
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,67,64,24,22,36,5,22,24,73,65,54,0,3,15,14,20,57,36,49,20,54,54,3,5
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,67,84,25,7,16,68,52,65,313,100,41,0,6,24,27,41,34,15,90,3,58,47,3,3
0,M,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,0,2,74,79,39,12,21,39,38,45,131,81,54,0,4,19,24,70,86,29,74,12,54,54,8,7
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,66,92,59,28,8,18,32,34,108,71,57,0,4,22,16,34,45,20,47,17,54,54,4,5
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,0,3,70,85,14,16,15,43,39,47,89,77,57,0,4,22,20,73,95,30,68,35,54,54,5,9
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,2,75,99,1,3,0,86,65,84,274,106,62,0,6,12,58,85,58,20,86,5,59,49,9,9
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,0,2,76,96,16,31,4,71,53,65,168,78,55,8,3,14,66,76,92,33,51,19,34,75,4,0
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,4,72,98,45,7,2,95,81,104,280,110,55,0,6,10,58,71,75,38,87,1,49,54,8,4
0,F,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,0,1,74,98,19,14,2,89,65,83,269,102,56,0,6,19,43,90,99,30,75,3,39,69,8,2
0,F,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,0,2,75,83,46,16,17,52,46,54,142,78,48,0,4,15,50,49,51,33,61,5,67,62,9,0
0,F,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,0,2,77,98,38,24,2,1,15,15,417,60,77,0,3,24,2,5,0,9,20,6,72,38,8,6
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y,0,2,79,93,53,17,7,75,58,69,173,86,46,0,4,15,51,57,62,40,64,1,59,61,7,3
0,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,75,98,16,16,2,95,86,111,322,105,55,0,4,10,69,92,99,47,70,5,59,61,7,1
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,1,79,86,39,31,14,53,43,51,136,73,55,56,3,17,50,70,44,34,41,99,44,48,2,0
0,M,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0,3,75,98,7,27,2,59,50,58,125,80,58,0,4,13,57,89,94,30,52,4,59,58,9,7
0,F,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,2,79,97,19,6,3,95,77,99,259,115,50,0,6,14,56,64,65,36,89,1,38,78,8,3
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,78,98,44,6,2,77,76,95,999,133,54,0,6,20,49,29,52,12,88,6,64,42,8,2
0,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,80,95,10,9,5,33,43,51,467,76,44,0,3,26,47,6,12,44,53,3,62,37,5,1
